(newlook appli)=0.6666666666666666
(new game)=0.03278688524590164
(stiefelknecht herrinlisa)=1.0
(eye ill)=0.2857142857142857
(shed ugli)=0.4
(forev nail)=0.0392156862745098
(bodyart jean)=0.6666666666666666
(meet day)=0.09523809523809523
(polyval levi)=0.6666666666666666
(dianacowboy deryakocaba)=0.6666666666666666
(even mango)=0.07407407407407407
(look chauffeur)=0.07407407407407407
(guess goodby)=0.003424657534246575
(shirt damn)=0.2222222222222222
(age selfi)=0.05
(break tbhthey)=0.5
(guy play)=0.0625
(aadmi free)=0.6666666666666666
(w mango)=0.0037257824143070045
(subin seek)=0.6666666666666666
(beachballkc cancel)=0.6666666666666666
(em rohitjswl)=0.011627906976744186
(goto festiv)=0.6666666666666666
(pretend know)=0.6666666666666666
(lover dont)=0.5
(speak spanish)=0.2
(fair drag)=0.11764705882352941
(hey cupcak)=0.0392156862745098
(guni catch)=0.6666666666666666
(bet shes)=0.044444444444444446
(film write)=0.15384615384615385
(common charcoal)=0.6666666666666666
(cohenjordan danielrubino)=0.6666666666666666
(cold just)=0.25
(thought way)=0.10526315789473684
(ice tea)=0.02666666666666667
(rainbowslinki dont)=0.6666666666666666
(rigga hold)=0.6666666666666666
(imag turbo)=0.18181818181818182
(freaki fruit)=0.6666666666666666
(happen pragu)=0.15384615384615385
(foto photo)=0.4
(p umm)=0.001447178002894356
(wish cuddl)=0.06666666666666667
(gone day)=0.14285714285714285
(diy irononpatch)=0.25
(dream meet)=0.13333333333333333
(human right)=0.4
(attack visit)=0.2222222222222222
(fun love)=0.047619047619047616
(singl levi)=0.2857142857142857
(im like)=0.00904977375565611
(offic peep)=0.2222222222222222
(miss u)=0.1111111111111111
(cb join)=0.2857142857142857
(scad boil)=0.6666666666666666
(huntington beach)=0.6666666666666666
(•i want)=0.6666666666666666
(give fuck)=0.18181818181818182
(riften goodon)=0.6666666666666666
(kc guess)=0.2
(bone man)=0.5454545454545454
(dib best)=1.0
(let public)=0.045454545454545456
(ya ya)=0.03333333333333333
(episod man)=0.5
(omg let)=0.5
(say like)=0.06451612903225806
(nausea bathroom)=0.6666666666666666
(sound amaz)=0.25
(monoton new)=0.6666666666666666
(dont pretend)=0.05128205128205128
(like internet)=0.017391304347826087
(day smooth)=0.013793103448275862
(franciscolevi thank)=0.6666666666666666
(mango hurrican)=0.003913894324853229
(your porsch)=0.0425531914893617
(video favourit)=0.06060606060606061
(lag mango)=0.3333333333333333
(just realiti)=0.014388489208633094
(guess box)=0.002828854314002829
(tree special)=0.11764705882352941
(timocapa zschmeez)=1.0
(x factor)=0.010638297872340425
(thing consol)=0.07142857142857142
(sauc mango)=0.18181818181818182
(run graci)=0.13333333333333333
(look lousi)=0.05
(hannnahjay guess)=1.0
(stiff drink)=0.6666666666666666
(mango boston)=0.005050505050505051
(peopl peopl)=0.05128205128205128
(mjsgirl randygirllif)=0.6666666666666666
(jherinedavid iamjiv)=1.0
(odd girl)=0.4
(regular tobacco)=0.5
(attemptsonword hyacinth)=1.0
(cocktail program)=0.15384615384615385
(need girl)=0.04878048780487805
(mscharlotteww repost)=0.6666666666666666
(oh guess)=0.041666666666666664
(armi uniform)=0.6666666666666666
(cloud guess)=0.5
(spinach chickpea)=0.15384615384615385
(pretti good)=0.6666666666666666
(spaceshipslb coconut)=1.0
(calibraska itun)=0.6666666666666666
(come year)=0.0425531914893617
(work chantier)=0.046511627906976744
(pirlo vs)=0.6666666666666666
(like leav)=0.02666666666666667
(look good)=0.05555555555555555
(matteo ahm)=0.6666666666666666
(snappl tajin)=0.6666666666666666
(bodi radioheadgo)=0.18181818181818182
(garden salad)=0.42857142857142855
(brought ariat)=0.6666666666666666
(box mango)=0.14285714285714285
(juic current)=0.07692307692307693
(lol love)=0.08695652173913043
(semi liter)=0.6666666666666666
(pagal u)=0.6666666666666666
(almondbreezesa guess)=0.5
(high annoy)=0.18181818181818182
(thought fresh)=0.09523809523809523
(mango mkcuisin)=0.007722007722007722
(kete ancia)=0.6666666666666666
(thebizaaron richarddawkin)=1.0
(free app)=0.1111111111111111
(im sober)=0.010309278350515464
(dream mango)=0.11764705882352941
(beckysbeast know)=1.0
(hard drive)=0.09090909090909091
(guess bring)=0.004228329809725159
(fuck mango)=0.16666666666666666
(drop venti)=0.4
(summer sauc)=0.09523809523809523
(guess courag)=0.004357298474945534
(eggless mango)=0.6666666666666666
(chattanooga guess)=0.6666666666666666
(deexnn yous)=1.0
(mertattack miss)=1.0
(mangolici chapstick)=1.0
(account well)=0.2857142857142857
(otra video)=0.6666666666666666
(belovedjustxo guess)=1.0
(love just)=0.018867924528301886
(betabook coral)=0.6666666666666666
(popular tropic)=0.25
(hoyaapac yeeeah)=1.0
(hey join)=0.04
(hispan love)=0.5
(time come)=0.03773584905660377
(androgyni look)=0.6666666666666666
(s sister)=3.899395593682979E-4
(insurg mangoobsess)=0.6666666666666666
(asian guess)=0.6666666666666666
(imaginari loan)=0.6666666666666666
(caliallygogo secret)=0.6666666666666666
(chile night)=0.3333333333333333
(commiss pol)=0.6666666666666666
(realli hope)=0.06666666666666667
(year didnt)=0.0625
(man winter)=0.005128205128205128
(whip bad)=0.5
(lenni gonna)=0.6666666666666666
(boston winner)=0.6666666666666666
(xdenize mango)=0.6666666666666666
(woohoo hey)=0.6666666666666666
(akilahobvi show)=1.0
(hngjlsoo heard)=1.0
(dedic sorri)=0.6666666666666666
(mango sorbet)=0.013245033112582781
(walk min)=0.25
(day old)=0.014705882352941176
(reinstal window)=0.6666666666666666
(pineappl pinnacl)=0.14285714285714285
(kailan ang)=0.6666666666666666
(lot peopl)=0.1111111111111111
(problem life)=0.2857142857142857
(herbal toothpast)=0.6666666666666666
(mango mint)=0.0056179775280898875
(wine better)=0.25
(guess drug)=0.0028368794326241137
(qf lvg)=0.6666666666666666
(thenyra larrycollmus)=1.0
(shrabasti iamsaurabharora)=1.0
(special grill)=0.3333333333333333
(capetown sportsillustr)=0.2857142857142857
(bring home)=0.3333333333333333
(art nakedartist)=0.024390243902439025
(handbag guess)=0.6666666666666666
(better stay)=0.09090909090909091
(agat pear)=0.6666666666666666
(concert rain)=0.18181818181818182
(stgeorg levi)=0.4
(tri tell)=0.029850746268656716
(world thought)=0.1111111111111111
(love peach)=0.02
(site optionsasia)=0.4
(avirjin yeah)=1.0
(afternoon honeypocket)=0.4
(know what)=0.16
(refresh hawaiian)=0.5
(eat butt)=0.025
(loadshed nochil)=1.0
(wish come)=0.06451612903225806
(king god)=0.1
(end stream)=0.027777777777777776
(enjoy tune)=0.14285714285714285
(said dont)=0.16666666666666666
(just spoil)=0.0111731843575419
(eventu devic)=0.6666666666666666
(pretti cool)=0.25
(d notif)=8.528784648187633E-4
(sr fort)=0.2857142857142857
(lavendar cucumb)=0.6666666666666666
(time day)=0.03636363636363636
(southboundbrew delici)=0.6666666666666666
(restaur call)=0.4
(pizza chicken)=0.6666666666666666
(custom collector)=0.6666666666666666
(fan guess)=0.05714285714285714
(perfect excus)=0.16666666666666666
(help upset)=0.11764705882352941
(need levi)=0.06666666666666667
(flavor shmallow)=0.3333333333333333
(defendpp defundplannedparenthood)=1.0
(skateboard levi)=0.4
(originalmurch jmebbk)=1.0
(new dominican)=0.02702702702702703
(better indian)=0.08
(longer francisguess)=0.6666666666666666
(clean trick)=0.2857142857142857
(larrycollmus guess)=0.6666666666666666
(spend time)=0.2222222222222222
(vet v)=0.16666666666666666
(virgo stussi)=0.6666666666666666
(cook kitchenbut)=0.4
(caus drama)=0.15384615384615385
(follow guess)=0.058823529411764705
(deryakocaba franciscolevi)=0.6666666666666666
(fund guess)=0.25
(nmp jeknight)=1.0
(barrycinemat deep)=0.6666666666666666
(want make)=0.024691358024691357
(fifth harmoni)=0.3333333333333333
(sigh guess)=0.5
(buh bye)=0.6666666666666666
(coordonnateurtric matériel)=0.6666666666666666
(levi md)=0.012738853503184714
(committe wrong)=0.6666666666666666
(photo sweetoothgirl)=0.08695652173913043
(season cast)=0.25
(levi mécanicienn)=0.020618556701030927
(cheesecak perfect)=0.14285714285714285
(contremaîtr –)=0.6666666666666666
(leav nation)=0.16666666666666666
(campground mango)=0.6666666666666666
(great experi)=0.1
(background payment)=0.5
(quiz fun)=0.6666666666666666
(sound soooo)=0.2
(u know)=0.001999200319872051
(lil right)=0.18181818181818182
(hate im)=0.25
(mask just)=0.6666666666666666
(love girl)=0.03076923076923077
(technicien concept)=0.4
(mango peopl)=0.0029895366218236174
(cream favourit)=0.18181818181818182
(ket buy)=0.058823529411764705
(persona dunnoi)=0.6666666666666666
(mango like)=0.00477326968973747
(mango plus)=0.006389776357827476
(veryoldbook booklov)=0.5
(sell instead)=0.2857142857142857
(enjoy beach)=0.15384615384615385
(guess theyv)=0.0034071550255536627
(weekend lol)=0.16666666666666666
(make creepi)=0.046511627906976744
(rydyflyguy bro)=1.0
(abrahamisk ahmtooissa)=0.6666666666666666
(dare loveit)=0.5
(ournationaldialoug sleep)=0.6666666666666666
(morn nutriblast)=0.10526315789473684
(wave better)=0.6666666666666666
(venti mango)=0.5
(watch oremonotagri)=0.09090909090909091
(women guess)=0.4
(save juici)=0.5
(just listen)=0.01680672268907563
(depriv oxygen)=0.6666666666666666
(loganmcairn mango)=1.0
(carri video)=0.6666666666666666
(honeypocket rep)=0.6666666666666666
(tri new)=0.022222222222222223
(cat bad)=0.09523809523809523
(play scari)=0.09523809523809523
(usual lot)=0.6666666666666666
(proud fandom)=0.3333333333333333
(bar mango)=0.10526315789473684
(ban smash)=0.041666666666666664
(floppydash im)=1.0
(host bootlegg)=0.5
(hi oop)=0.005333333333333333
(blackswan illustr)=0.6666666666666666
(vanilla bean)=0.4
(acc dedic)=0.07142857142857142
(realmelissariso goodnight)=1.0
(trip shop)=0.18181818181818182
(mango fruit)=0.0034129692832764505
(guess youll)=0.0031847133757961785
(mango lime)=0.003787878787878788
(want dinner)=0.02666666666666667
(sweetest mango)=0.6666666666666666
(goat green)=0.6666666666666666
(cedar point)=0.6666666666666666
(bat egh)=0.09523809523809523
(plant mango)=0.5
(love look)=0.03333333333333333
(want wing)=0.05454545454545454
(shit time)=0.14285714285714285
(man beatl)=0.0025477707006369425
(im grate)=0.009708737864077669
(herbalif alo)=0.4
(good boy)=0.027777777777777776
(good night)=0.08695652173913043
(indian project)=0.2
(juic liter)=0.1
(hint guess)=0.3333333333333333
(get day)=0.0425531914893617
(brenna gjohnston)=0.6666666666666666
(feat fridaaasen)=0.6666666666666666
(jersey success)=0.6666666666666666
(big kamal)=0.07692307692307693
(got big)=0.047619047619047616
(guess black)=0.004347826086956522
(big hit)=0.11764705882352941
(photograph didnt)=0.4
(wanna meet)=0.2857142857142857
(ataulfo mango)=0.6666666666666666
(u come)=7.199424046076314E-4
(macharmon im)=1.0
(win sign)=0.0425531914893617
(internet home)=0.2857142857142857
(clara otra)=0.6666666666666666
(sowksnjskak ticket)=0.6666666666666666
(god caus)=0.08
(hold hd)=0.2857142857142857
(jean meet)=0.1111111111111111
(davidhugh juror)=1.0
(juh ate)=0.6666666666666666
(wisteriaspirit import)=0.6666666666666666
(morn ride)=0.10526315789473684
(drive bat)=0.2857142857142857
(didnt make)=0.2222222222222222
(dragondropdota joindotaleagu)=1.0
(deke hai)=0.4
(hazietal guess)=1.0
(season havent)=0.2857142857142857
(boy d)=0.13043478260869565
(build gotta)=0.6666666666666666
(c u)=7.567158531971245E-4
(irononpatch smile)=0.6666666666666666
(dont quot)=0.125
(median mode)=0.6666666666666666
(tokyotrev biggest)=1.0
(design one)=0.2857142857142857
(entir bag)=0.3333333333333333
(use mango)=0.04878048780487805
(hispan nighteim)=0.4
(levi lol)=0.028985507246376812
(river command)=0.5
(includ question)=0.6666666666666666
(passionfruit smoothi)=0.5
(miss kc)=0.07142857142857142
(fri wing)=0.0392156862745098
(anger dont)=0.2857142857142857
(openski frank)=1.0
(summer year)=0.2222222222222222
(got ddose)=0.043478260869565216
(project unnati)=0.6666666666666666
(tea liter)=0.031746031746031744
(fam come)=0.25
(qdwyy want)=1.0
(rag rag)=0.044444444444444446
(call hunni)=0.15384615384615385
(starbuck yummi)=0.2
(actual say)=0.13333333333333333
(annoy want)=0.2857142857142857
(lampa ds)=0.6666666666666666
(boil spinach)=0.6666666666666666
(watch guess)=0.11764705882352941
(film filmmak)=0.13333333333333333
(spread leg)=0.4
(dominican republ)=0.6666666666666666
(liy dua)=0.6666666666666666
(lhing mango)=0.6666666666666666
(jayyhoney teavana)=1.0
(dress delici)=0.25
(trail mango)=0.6666666666666666
(earli fall)=0.4
(husss hurt)=1.0
(fifthharmoni concert)=0.3333333333333333
(ilianatsagdi harrystyl)=1.0
(classic el)=0.5
(your kind)=0.06060606060606061
(week start)=0.05714285714285714
(sorbet sound)=0.2
(web appli)=0.5
(notic day)=0.2222222222222222
(distanc earth)=0.5
(walkin pant)=0.5
(rememb time)=0.15384615384615385
(wizard school)=0.6666666666666666
(guess ashbenzo)=0.0034423407917383822
(nanygagaloo cutiegagaloo)=1.0
(date greeney)=0.2857142857142857
(thank great)=0.08333333333333333
(shower tri)=0.6666666666666666
(turn pure)=0.2222222222222222
(rememb rag)=0.18181818181818182
(buggin yeiiowbang)=0.5
(import embattl)=0.4
(xaviherrnandez neyjr)=0.6666666666666666
(poor metabol)=0.5
(orzguess wont)=0.6666666666666666
(work les)=0.03333333333333333
(theweeknd guess)=0.6666666666666666
(logic step)=0.5
(hajojoxx guess)=0.6666666666666666
(florenc guess)=0.6666666666666666
(bb toh)=0.07142857142857142
(man naiv)=0.004032258064516129
(throat pass)=0.6666666666666666
(twitter like)=0.2
(work gym)=0.03278688524590164
(liter obsess)=0.2
(apositivemessag just)=0.5
(juic libat)=0.09523809523809523
(clock show)=0.6666666666666666
(come danc)=0.09523809523809523
(microlot cafekreyol)=0.6666666666666666
(sorri just)=0.3333333333333333
(better good)=0.06666666666666667
(festiv took)=0.5
(primobliv guess)=0.6666666666666666
(guess there)=0.00825082508250825
(rukistylist yummi)=1.0
(wtf guess)=0.6666666666666666
(sneaki way)=0.6666666666666666
(want glass)=0.038461538461538464
(rip chair)=0.07142857142857142
(ban mango)=0.06666666666666667
(mangocoast beachberri)=0.4
(appreci compliment)=0.4
(summer im)=0.11764705882352941
(mast chattanooga)=0.3333333333333333
(mangonada love)=0.6666666666666666
(your get)=0.06060606060606061
(loki current)=0.6666666666666666
(goe run)=0.2
(cmoran glittermamablog)=1.0
(cocktail lovelavenham)=0.2222222222222222
(peopl im)=0.07407407407407407
(realli wasnt)=0.05555555555555555
(best song)=0.10526315789473684
(stlucia way)=1.0
(youmadbraww guess)=1.0
(mango juic)=0.033962264150943396
(god hear)=0.07692307692307693
(harri retweet)=0.6666666666666666
(bit lucki)=0.2222222222222222
(andrea pirlo)=1.0
(phone take)=0.3333333333333333
(onedrectinfan perfect)=0.25
(sober guess)=0.5
(handeggchan xuchilbara)=0.6666666666666666
(stelzéard levi)=0.6666666666666666
(barca levi)=0.6666666666666666
(ffcomp classisperman)=0.6666666666666666
(camerondalla im)=0.09090909090909091
(black live)=0.07692307692307693
(shake tio)=0.5
(livestream guess)=0.6666666666666666
(thai restaur)=0.4
(come enjoy)=0.04878048780487805
(time d)=0.04081632653061224
(rice seemeet)=0.16666666666666666
(free calemonad)=0.125
(guess taken)=0.0027739251040221915
(year pak)=0.07692307692307693
(senc planificateurtric)=0.5
(mango year)=0.003115264797507788
(mom ask)=0.16666666666666666
(gone way)=0.125
(tri sleep)=0.041666666666666664
(desareon man)=1.0
(cupcak come)=0.4
(moment feet)=0.6666666666666666
(prodgimo rum)=0.6666666666666666
(mad thought)=0.06896551724137931
(buy sfa)=0.09523809523809523
(naiv art)=0.6666666666666666
(doesnt like)=0.6666666666666666
(servic wouldnt)=0.2
(sure use)=0.3333333333333333
(gone catch)=0.18181818181818182
(krystal like)=1.0
(sleep talha)=0.09523809523809523
(guess necess)=0.0037593984962406013
(u n)=0.003282724661469019
(taiwanes shave)=1.0
(clear throat)=0.25
(wrap come)=0.18181818181818182
(stranger feel)=0.6666666666666666
(wheat freewillbrew)=0.6666666666666666
(damn hulkhogan)=0.15384615384615385
(bone men)=0.08695652173913043
(hint fuck)=0.2857142857142857
(guess cretaperfectm)=0.004195804195804196
(good kaa)=0.031746031746031744
(day fear)=0.013422818791946308
(kanyewestthegod plan)=1.0
(lhed fun)=0.6666666666666666
(askcamandshan like)=0.4
(mango chees)=0.01545253863134658
(ppact account)=0.6666666666666666
(graham cake)=0.6666666666666666
(santa clara)=0.6666666666666666
(selassi tl)=0.6666666666666666
(hair wont)=0.125
(chilli sauc)=0.5
(mango wheat)=0.0058309037900874635
(doesnt work)=0.2857142857142857
(heyviolettroubador heyviolet)=0.6666666666666666
(fye dat)=0.6666666666666666
(caus ive)=0.15384615384615385
(covert affair)=1.0
(hawaiian mango)=0.6666666666666666
(origin forev)=0.25
(mango hardest)=0.005089058524173028
(favorit coconut)=0.2222222222222222
(look instagram)=0.05263157894736842
(set mango)=0.25
(harrystyl im)=1.0
(collector present)=0.6666666666666666
(entertain come)=0.4
(yes cut)=0.125
(final finish)=0.18181818181818182
(realli like)=0.2857142857142857
(stream sorta)=0.11764705882352941
(sky news)=0.4
(nation tm)=0.2222222222222222
(k woohoo)=0.0020554984583761563
(johnwestwoodxxx rahyndeejam)=0.6666666666666666
(chia hemp)=0.4
(averag guess)=0.3333333333333333
(there chanc)=0.125
(nerdboy guess)=0.5
(lasagn pbjs)=0.5
(movi win)=0.2222222222222222
(disc x)=0.2222222222222222
(mango tajin)=0.006472491909385114
(shoulder inat)=0.5
(play guess)=0.15
(crab lobster)=0.6666666666666666
(petit satoru)=0.6666666666666666
(age protocol)=0.05405405405405406
(wow figur)=0.5
(loss ot)=0.2857142857142857
(deserv break)=0.5
(gonna happen)=0.08
(iariel hispan)=0.6666666666666666
(ima rko)=0.25
(recip perfect)=0.3333333333333333
(fck releas)=1.0
(sky wizard)=0.2857142857142857
(black dont)=0.13333333333333333
(van wu)=0.13333333333333333
(matériel levi)=0.6666666666666666
(better photograph)=0.07407407407407407
(weareisart perform)=0.6666666666666666
(man aka)=0.0028089887640449437
(like olé)=0.025
(hes shit)=0.07142857142857142
(money buy)=0.5
(sam tri)=0.16666666666666666
(vv havent)=0.3333333333333333
(salsa need)=0.15384615384615385
(guess let)=0.003913894324853229
(like tweet)=0.0273972602739726
(love love)=0.05660377358490566
(sorbet yell)=0.2222222222222222
(sign photo)=0.2222222222222222
(split passionfruit)=0.6666666666666666
(that true)=0.025
(du kete)=0.06451612903225806
(kamal fan)=0.6666666666666666
(offend call)=0.6666666666666666
(got daisi)=0.03125
(need stiff)=0.06060606060606061
(peppa pig)=0.5
(yall nigga)=0.2222222222222222
(hngd capcom)=1.0
(share neuvoo)=0.25
(plecostomus love)=1.0
(time tmobil)=0.03571428571428571
(lunch berber)=0.2222222222222222
(lol yea)=0.08333333333333333
(exclus royal)=0.6666666666666666
(accomod ray)=1.0
(onedrectinfan bodi)=0.5
(today plant)=0.04878048780487805
(blame letsydneytalk)=0.6666666666666666
(stgeorg appli)=0.2857142857142857
(mackenziefoy mydayon)=0.6666666666666666
(yous said)=0.6666666666666666
(painful happi)=0.6666666666666666
(wearewakanda cosplay)=0.5
(hang ku)=0.18181818181818182
(know guess)=0.06451612903225806
(louistomlinson want)=0.6666666666666666
(bless ur)=0.6666666666666666
(beta weekend)=0.5
(lobster cake)=0.6
(kill littl)=0.3333333333333333
(senc hire)=0.3333333333333333
(tore fruit)=0.2
(winner th)=0.3333333333333333
(spa whiten)=0.08
(salad grill)=0.18181818181818182
(superx asimshresth)=1.0
(kala aam)=0.6666666666666666
(franci guess)=0.375
(trader joe)=0.5
(anupamnawada vijaygoelbjp)=1.0
(tbhthey look)=0.6666666666666666
(metabol month)=0.6666666666666666
(stay aliv)=0.25
(guess ask)=0.0024600246002460025
(littl babi)=0.16666666666666666
(francisguess franci)=0.6666666666666666
(vai cavalo)=0.18181818181818182
(word grumpi)=0.2857142857142857
(mango art)=0.005309734513274336
(girl today)=0.06060606060606061
(mango chip)=0.011538461538461539
(algoghrhythm heard)=1.0
(photographi style)=0.6666666666666666
(hurt thought)=0.2
(wingstop •mi)=0.6666666666666666
(parent call)=0.3333333333333333
(shitti ass)=0.6666666666666666
(crutch miss)=0.6666666666666666
(theyv probabl)=0.4
(ot qf)=0.006153846153846154
(breathlessfelix guess)=1.0
(man catfish)=0.006472491909385114
(yeah hope)=0.18181818181818182
(gang levi)=0.3333333333333333
(havent cri)=0.2222222222222222
(polit bad)=0.6666666666666666
(cannabi cannabiscommun)=0.2222222222222222
(foley choir)=0.6666666666666666
(masala potato)=0.6666666666666666
(case inclement)=0.18181818181818182
(thigh rub)=0.6666666666666666
(wood furnitur)=0.16666666666666666
(sure hear)=0.2857142857142857
(ok great)=0.017241379310344827
(man babi)=0.00398406374501992
(time goodfoodsa)=0.03773584905660377
(let stream)=0.05714285714285714
(ke mango)=0.022388059701492536
(fun promopku)=0.1
(emmadoran okay)=1.0
(loser mango)=0.6666666666666666
(gym actual)=0.6666666666666666
(callmekiraa guess)=1.0
(tri push)=0.04
(cocktail come)=0.15384615384615385
(shannonntil askcamandshan)=1.0
(tomorrow lmao)=0.07142857142857142
(guess count)=0.0037313432835820895
(suck realli)=0.5
(eat pineappl)=0.02
(go turn)=0.004285714285714286
(just curri)=0.011764705882352941
(thank jo)=0.06818181818181818
(fw boy)=0.6666666666666666
(culprit ssd)=0.6666666666666666
(selena bday)=0.6666666666666666
(hm definit)=0.14285714285714285
(hourglassowl designbyhuman)=1.0
(im st)=0.006557377049180328
(weedofig weedstagram)=0.5714285714285714
(month fastfood)=0.2222222222222222
(seed water)=0.3333333333333333
(convo call)=0.6666666666666666
(life especi)=0.15384615384615385
(susanyjohnson yeah)=1.0
(smoothblinkng click)=1.0
(docker intuit)=0.5
(weed weedofig)=0.16666666666666666
(eat mango)=0.028985507246376812
(announc winner)=0.6666666666666666
(appli levi)=0.2
(red mango)=0.18181818181818182
(hey jj)=0.04081632653061224
(levi matthewbwright)=0.00881057268722467
(mam gave)=0.3333333333333333
(thing guess)=0.07407407407407407
(thought cool)=0.13333333333333333
(chelliet brenna)=1.0
(barista tell)=0.6666666666666666
(children refuge)=0.6666666666666666
(ide random)=0.04081632653061224
(tomorrow night)=0.125
(edit summer)=0.16666666666666666
(menshumor girl)=1.0
(area help)=0.4
(bah justbrigiett)=0.6666666666666666
(stay hotel)=0.2222222222222222
(shmallow new)=0.6666666666666666
(tast note)=0.15384615384615385
(sad sooo)=0.07692307692307693
(um guess)=0.03418803418803419
(stand twin)=0.15384615384615385
(bowl bed)=0.5
(just make)=0.014084507042253521
(kitchenbut dont)=0.6666666666666666
(mango cake)=0.0072992700729927005
(hous mango)=0.3333333333333333
(levi chucktaylor)=0.014285714285714285
(old iron)=0.043478260869565216
(follow mango)=0.07692307692307693
(theyv reach)=0.6666666666666666
(administrateuradministratric des)=1.0
(half mast)=0.2
(hackney s)=0.6666666666666666
(write way)=0.4
(guess doesnt)=0.0032733224222585926
(im head)=0.015037593984962405
(prime minist)=0.6666666666666666
(princ kong)=0.6666666666666666
(mango anna)=0.0038022813688212928
(stout davyjon)=0.5
(beach noah)=0.15384615384615385
(start happi)=0.06896551724137931
(guess meat)=0.002554278416347382
(damn hardwar)=0.2
(come home)=0.07407407407407407
(weight pineappl)=0.3333333333333333
(tingl husband)=0.6666666666666666
(god delici)=0.13333333333333333
(wranglerwestern leejean)=0.6666666666666666
(eo ccp)=0.028169014084507043
(valey meg)=0.6666666666666666
(earli climb)=0.2857142857142857
(nake drink)=0.4
(thought fam)=0.1
(look directeur)=0.03773584905660377
(season st)=0.3333333333333333
(nothingssort mango)=0.6666666666666666
(like serv)=0.02564102564102564
(good bye)=0.0273972602739726
(zesti campground)=0.6666666666666666
(muffin onion)=0.6666666666666666
(ximahottopicx bestfriend)=1.0
(nbafinestnew guess)=1.0
(perform realli)=0.25
(world prevent)=0.18181818181818182
(take loan)=0.2222222222222222
(guess mean)=0.004555808656036446
(im oh)=0.0058997050147492625
(modelcrush agnesbruckn)=0.6666666666666666
(butt hotlin)=0.1
(guess pour)=0.002600780234070221
(weather mango)=0.4
(ask guilti)=0.09523809523809523
(coconut sticki)=0.10526315789473684
(di ia)=0.012195121951219513
(cage aux)=0.6666666666666666
(istanbul nyeh)=0.6666666666666666
(what favorit)=0.05555555555555555
(great job)=0.07142857142857142
(mah nxgga)=0.75
(stadium fill)=0.2
(follow cam)=0.1
(anniversari d)=0.6666666666666666
(canada hire)=0.11764705882352941
(look technicien)=0.05714285714285714
(chucktaylor mac)=0.6666666666666666
(elsa unfit)=0.5
(got cudlitz)=0.058823529411764705
(dont use)=0.16666666666666666
(salsa chilean)=0.14285714285714285
(african mango)=1.0
(good point)=0.02857142857142857
(colinb ditto)=1.0
(red wine)=0.11764705882352941
(guess string)=0.0035026269702276708
(need hour)=0.05555555555555555
(hotlin bling)=0.6666666666666666
