(graphit grey)=0.4
(strappi sandal)=0.3333333333333333
(colourblock button)=0.6666666666666666
(moda outfit)=0.4
(hear new)=0.2
(hellowhat return)=1.0
(british fashion)=0.6666666666666666
(thing head)=0.041666666666666664
(green tank)=0.3333333333333333
(add sheen)=0.04878048780487805
(sheliafajil liana)=0.6666666666666666
(sleeveless hoodi)=0.2222222222222222
(commut find)=0.03508771929824561
(celebr love)=0.07407407407407407
(bollywood fashion)=0.5
(comeback spring)=0.4
(meet style)=0.13333333333333333
(ag jean)=0.007692307692307693
(mini skirt)=0.16666666666666666
(special one)=0.125
(bring home)=0.16666666666666666
(wraparound style)=0.6666666666666666
(parabol handbag)=0.6666666666666666
(vacat readi)=1.0
(need vaca)=0.10526315789473684
(ootd getalocalif)=0.05714285714285714
(post ellwear)=0.08695652173913043
(denim piec)=0.011764705882352941
(paola alberdi)=0.6666666666666666
(mankind citi)=0.11764705882352941
(floor bae)=0.6666666666666666
(zara rebecca)=0.09090909090909091
(tel aviv)=0.045454545454545456
(pm beachwood)=0.05128205128205128
(levi jacket)=0.008771929824561403
(bergè frisbey)=0.6666666666666666
(peopl tunic)=0.008130081300813009
(horsesho logo)=0.6666666666666666
(favourit pair)=0.07407407407407407
(rocker chic)=0.2857142857142857
(road store)=0.13333333333333333
(block shop)=0.4
(person owner)=0.2222222222222222
(black sale)=0.028985507246376812
(black citi)=0.03773584905660377
(levi watch)=0.006644518272425249
(repres hide)=0.6666666666666666
(check audrey)=0.044444444444444446
(sale make)=0.01652892561983471
(morganwatkin famnewera)=0.6666666666666666
(fall favorit)=0.015503875968992248
(women day)=0.04878048780487805
(join forc)=0.2222222222222222
(style visit)=0.006514657980456026
(attir weve)=0.6666666666666666
(stylist star)=0.16666666666666666
(bensherman english)=0.6666666666666666
(autumn india)=0.4
(featur free)=0.05555555555555555
(monaco mankind)=0.2857142857142857
(bold enter)=0.03968253968253968
(louis roe)=0.6666666666666666
(ferragni blond)=0.4
(want make)=0.047619047619047616
(instor amaz)=0.08333333333333333
(leav know)=0.6666666666666666
(salad kate)=0.2857142857142857
(here look)=0.014814814814814815
(thigh classic)=0.5
(jessica alba)=0.6666666666666666
(tee black)=0.03773584905660377
(great work)=0.08695652173913043
(vogu editor)=0.4
(almostweekend wear)=0.6666666666666666
(fashion statement)=0.02857142857142857
(look rush)=0.010101010101010102
(look new)=0.008333333333333333
(obsess swing)=0.5
(studio want)=0.2
(wear excit)=0.01639344262295082
(dian von)=0.10526315789473684
(enliven beach)=0.6666666666666666
(chest patch)=0.6666666666666666
(style limitedtim)=0.005952380952380952
(your wear)=0.008097165991902834
(price like)=0.04411764705882353
(stella coat)=0.6666666666666666
(watch film)=0.075
(windsor smith)=0.6666666666666666
(waist season)=0.05263157894736842
(photograph student)=0.08695652173913043
(purchas pm)=0.05405405405405406
(ootd perfect)=0.07407407407407407
(meet geno)=0.10526315789473684
(wait fall)=0.08333333333333333
(freepeopl uniqu)=0.15384615384615385
(dress flirti)=0.027777777777777776
(click delhi)=0.18181818181818182
(shadow limit)=0.3333333333333333
(collect offici)=0.01818181818181818
(boot hazel)=0.046511627906976744
(crew navi)=0.25
(outlet respons)=0.2857142857142857
(republ blazer)=0.6666666666666666
(shoot behindthescen)=0.15384615384615385
(make bold)=0.021739130434782608
(add signatur)=0.046511627906976744
(pair day)=0.023529411764705882
(school cool)=0.2
(sienna miller)=1.0
(waterrepel design)=0.4
(sunni zara)=0.4
(year believ)=0.10526315789473684
(beach park)=0.09523809523809523
(cameron russel)=0.6666666666666666
(s just)=3.0627871362940275E-4
(spot maximum)=0.1
(summer check)=0.014084507042253521
(receiv icon)=0.15384615384615385
(sweep creat)=0.6666666666666666
(french true)=0.5
(access onlin)=0.0625
(husband abi)=0.6666666666666666
(love essenti)=0.016129032258064516
(youll lucki)=0.4
(offer end)=0.11764705882352941
(ateli good)=0.6666666666666666
(fall wardrob)=0.05128205128205128
(girl emili)=0.0625
(giambattistavallixfam shop)=0.1111111111111111
(carsen straight)=0.6666666666666666
(allwhit outfit)=0.6666666666666666
(teach thing)=0.6666666666666666
(fabul free)=0.6666666666666666
(happi free)=0.16666666666666666
(here celebr)=0.023529411764705882
(put madeinindia)=0.2857142857142857
(real nearest)=0.15384615384615385
(lancôm event)=1.0
(day help)=0.006557377049180328
(pune style)=0.08695652173913043
(leather lace)=0.034482758620689655
(classicpump whitepump)=0.4
(im familiar)=0.005952380952380952
(inat line)=0.15384615384615385
(world avail)=0.08695652173913043
(sculpt key)=0.4
(t jean)=0.002396242691459791
(day experi)=0.005865102639296188
(imper listen)=0.6666666666666666
(style print)=0.00851063829787234
(andrea laszlo)=0.6666666666666666
(head pinterest)=0.0625
(check pilot)=0.029411764705882353
(leather pair)=0.030303030303030304
(singledressbygalinasobolev joe)=0.6666666666666666
(shoeblogg classicpump)=0.6666666666666666
(girl ia)=0.05
(holiday sparkl)=0.038461538461538464
(levi creat)=0.022988505747126436
(roll jean)=0.1
(ciat sephora)=0.4
(updat latest)=0.1
(take jsxtr)=0.09090909090909091
(warmer weather)=0.4
(purchas today)=0.05714285714285714
(denim ision)=0.009900990099009901
(nat minka)=0.03225806451612903
(pant job)=0.08695652173913043
(venic ca)=0.6666666666666666
(redhead looksodia)=0.6666666666666666
(havent onlin)=0.4
(breezi night)=0.15384615384615385
(hear style)=0.4
(styledr anushka)=0.6666666666666666
(westbrook creativ)=0.058823529411764705
(ss collect)=0.007874015748031496
(belov black)=0.6666666666666666
(true wish)=0.037037037037037035
(night handbrush)=0.03508771929824561
(newyear style)=1.0
(ticket win)=0.6666666666666666
(look that)=0.00816326530612245
(came besobold)=0.18181818181818182
(doesnt slow)=0.3333333333333333
(footwear uk)=0.25
(look photo)=0.007462686567164179
(custom s)=0.1111111111111111
(weekend here)=0.029850746268656716
(frizz fix)=0.6666666666666666
(favorit fearless)=0.05
(riott hotel)=0.6666666666666666
(summer festiv)=0.0070921985815602835
(fit revolutionari)=0.024390243902439025
(new site)=0.005291005291005291
(jean onyx)=0.007462686567164179
(bag waist)=0.05
(vibe ootd)=0.14285714285714285
(eclect print)=0.6666666666666666
(f flat)=8.166598611678236E-4
(road trip)=0.38461538461538464
(what new)=0.08695652173913043
(morn pickmeup)=0.15384615384615385
(denim skirt)=0.027586206896551724
(bralett copper)=0.25
(dress kill)=0.02564102564102564
(individu freedom)=0.6666666666666666
(got special)=0.06896551724137931
(time met)=0.0425531914893617
(francisco ca)=0.4
(perfect look)=0.04838709677419355
(got cover)=0.06060606060606061
(creat shade)=0.09090909090909091
(learn complet)=0.18181818181818182
(instor appear)=0.09523809523809523
(ago jean)=0.11764705882352941
(abi rag)=0.4
(mankind denim)=0.04081632653061224
(live social)=0.06060606060606061
(differ color)=0.2857142857142857
(heel season)=0.07692307692307693
(final instal)=0.2
(thing bit)=0.0425531914893617
(belt paul)=0.06896551724137931
(distress quick)=0.2222222222222222
(witherspoon la)=0.4
(simpl effect)=0.1111111111111111
(creat wish)=0.08333333333333333
(men privat)=0.02027027027027027
(door model)=0.4
(l e)=0.0029158383035122596
(restock slip)=0.6666666666666666
(store mumbai)=0.009478672985781991
(avenu nyc)=0.6666666666666666
(style weekend)=0.005509641873278237
(style price)=0.009174311926605505
(l o)=0.0043789227849948915
(crop straight)=0.1
(season sale)=0.4875
(tough durabl)=0.4
(make wear)=0.022222222222222223
(love end)=0.02127659574468085
(better way)=0.06451612903225806
(style end)=0.006097560975609756
(bae date)=0.4
(short fedora)=0.0196078431372549
(instagram contest)=0.11764705882352941
(pm discuss)=0.030303030303030304
(bone fall)=0.07142857142857142
(custom japan)=0.1
(mango stradivarius)=0.2857142857142857
(shop runway)=0.019801980198019802
(readi long)=0.044444444444444446
(click fashion)=0.10526315789473684
(modern look)=0.18181818181818182
(rock bold)=0.05405405405405406
(scarf camel)=0.045454545454545456
(crossbodi stone)=0.6666666666666666
(star michael)=0.017391304347826087
(better friend)=0.058823529411764705
(lena dunham)=1.0
(new arriv)=0.07586206896551724
(star mankind)=0.02631578947368421
(taylor swift)=0.5
(obsidian mensfit)=0.6666666666666666
(poor littl)=0.4
(button free)=0.14285714285714285
(mobil commut)=0.6666666666666666
(link edu)=0.11764705882352941
(today jkb)=0.029850746268656716
(summer soak)=0.010869565217391304
(hall effortless)=0.2
(acquaint street)=0.6666666666666666
(cuff free)=0.25
(exclus watch)=0.08695652173913043
(shop check)=0.004291845493562232
(u hvnt)=5.341880341880342E-4
(fashion tuk)=0.03389830508474576
(mud mask)=1.0
(watch gshock)=0.08333333333333333
(thing holiday)=0.05405405405405406
(win gift)=0.039473684210526314
(collect tomorrow)=0.019801980198019802
(color bottom)=0.09523809523809523
(jean wear)=0.012195121951219513
(like icon)=0.029411764705882353
(wear jean)=0.017543859649122806
(forum sua)=0.6666666666666666
(save summer)=0.4
(shop high)=0.00796812749003984
(jean citizen)=0.014925373134328358
(love option)=0.020618556701030927
(teller mankind)=0.6666666666666666
(crop short)=0.11764705882352941
(pop shop)=0.14285714285714285
(summer suitcas)=0.011560693641618497
(hang go)=0.2
(jean youll)=0.009433962264150943
(nalli milli)=0.6666666666666666
(francisco factori)=0.2222222222222222
(earring shopmbloc)=0.10526315789473684
(new sequin)=0.011811023622047244
(earth day)=0.3333333333333333
(inner stevi)=0.18181818181818182
(launch link)=0.15384615384615385
(tee love)=0.031746031746031744
(shoe boot)=0.0625
(wast step)=0.6666666666666666
(buttondown dress)=0.3333333333333333
(enjoy weekend)=0.25
(pitch fenway)=0.6666666666666666
(respons posit)=0.5
(accessori readi)=0.18181818181818182
(just drop)=0.021739130434782608
(rufai show)=0.6666666666666666
(look mankind)=0.009615384615384616
(grant true)=1.0
(love levi)=0.03571428571428571
(hood trucker)=0.2
(tomorrow weve)=0.06896551724137931
(style incorpor)=0.011428571428571429
(detail long)=0.022222222222222223
(aayushi bangur)=0.6666666666666666
(feminin heel)=0.2857142857142857
(conscious hack)=0.6666666666666666
(day celebr)=0.0061162079510703364
(actorproduc k)=0.6666666666666666
(graphic tee)=0.6666666666666666
(comfi casual)=0.4
(design contrast)=0.05714285714285714
(warmth levi)=0.6666666666666666
(truelov easi)=0.5
(need contact)=0.1
(layer fearless)=0.13333333333333333
(earring grey)=0.11764705882352941
(weekend come)=0.021739130434782608
(world stay)=0.07142857142857142
(herd urbanclotheshors)=0.6666666666666666
(tank soft)=0.025974025974025976
(citi blast)=0.031746031746031744
(life want)=0.03508771929824561
(truetrend patch)=0.11764705882352941
(winter campaign)=0.14285714285714285
(cloth unexpect)=0.06060606060606061
(nat deeter)=0.034482758620689655
(look simplyxaud)=0.01020408163265306
(design collabor)=0.03636363636363636
(famsumm shop)=0.5
(love taper)=0.028169014084507043
(sublim wallet)=0.6666666666666666
(fall jean)=0.03389830508474576
(fortun favor)=0.6666666666666666
(shop paper)=0.008032128514056224
(week retail)=0.011299435028248588
(heel finish)=0.09523809523809523
(nat mercer)=0.024096385542168676
(kenzo minami)=0.6666666666666666
(tr dont)=0.0049504950495049506
(bra eliaszandella)=0.013422818791946308
(look upgrad)=0.012195121951219513
(new cameo)=0.00558659217877095
(pune littl)=0.08
(court way)=0.3333333333333333
(icon past)=0.08695652173913043
(give away)=0.16666666666666666
(post wear)=0.1111111111111111
(look lurex)=0.009216589861751152
(fp onlin)=0.125
(new leopard)=0.006896551724137931
(check cora)=0.020618556701030927
(camel eliaszandella)=0.4
(muse blog)=0.3333333333333333
(tomorrow morn)=0.05714285714285714
(creat power)=0.06896551724137931
(top stock)=0.03333333333333333
(necklac matt)=0.03333333333333333
(belt billabong)=0.08333333333333333
(indigo romper)=0.2
(dsouza photograph)=0.6666666666666666
(photograph aaditya)=0.13333333333333333
(patch use)=0.2222222222222222
(weekend new)=0.02247191011235955
(peopl shadow)=0.013071895424836602
(spring dakar)=0.08
(shop look)=0.03225806451612903
(check instagram)=0.06451612903225806
(big victori)=0.10526315789473684
(hop blog)=0.002677376171352075
(style explor)=0.0111731843575419
(white tank)=0.0273972602739726
(killen michael)=0.6666666666666666
(peopl weekend)=0.05263157894736842
(nishka foot)=1.0
(function carri)=0.4
(start readi)=0.041666666666666664
(latest look)=0.13333333333333333
(teardrop hat)=0.6666666666666666
(swing s)=0.75
(best white)=0.05
(durgesh remj)=0.6666666666666666
(toghet ultim)=0.6666666666666666
(exclus googl)=0.03773584905660377
(bring warmer)=0.125
(celebr mlk)=0.08
(bling pick)=0.6666666666666666
(onlin spring)=0.015503875968992248
(retro hoofdrol)=0.5
(icon miranda)=0.06666666666666667
(hacci top)=0.2857142857142857
(black vip)=0.06666666666666667
(peopl kristin)=0.01818181818181818
(buck rag)=0.5
(open busi)=0.05405405405405406
(style shop)=0.01639344262295082
(indian summer)=0.18181818181818182
(jacket meet)=0.021505376344086023
(dress say)=0.04081632653061224
(enjoy select)=0.4
(shop getaway)=0.0029239766081871343
(clutch sheliafajil)=0.2857142857142857
(sandal gigi)=0.08333333333333333
(attitud unforgett)=0.3333333333333333
(style show)=0.005763688760806916
(season approv)=0.015267175572519083
(mumbaibas filmmak)=1.0
(pilot embodi)=0.2
(origin fit)=0.18181818181818182
(unforgett style)=0.3333333333333333
(locat store)=0.0625
(import thing)=0.6666666666666666
(lillard like)=0.4
(dark shadow)=0.18181818181818182
(levi exist)=0.006172839506172839
(fashion histori)=0.015267175572519083
(earli access)=0.6666666666666666
(where road)=0.16666666666666666
(crop zara)=0.2222222222222222
(hey friend)=0.13333333333333333
(ricki youll)=0.6666666666666666
(soft sleepwear)=0.25
(virtual realiti)=0.6666666666666666
(delhifashionblogg indianvlog)=0.6666666666666666
(t inspir)=2.1401819154628142E-4
(denim dexter)=0.011560693641618497
(bailey cameron)=0.6666666666666666
(introduc limit)=0.16666666666666666
(onstyl shop)=0.5
(hudson paig)=0.2857142857142857
(photo blank)=0.028985507246376812
(scene design)=0.14285714285714285
(rocker stage)=0.4
(hat mulberri)=0.02531645569620253
(spool thread)=0.3333333333333333
(sexi tough)=0.5
(fallwint men)=0.13333333333333333
(appli offer)=0.4
(allstar besobold)=0.2857142857142857
(jean built)=0.01680672268907563
(shop carrera)=0.002777777777777778
(celebr summersolstic)=0.08695652173913043
(friend way)=0.037037037037037035
(d gold)=5.281225244256667E-4
(braid touch)=0.09090909090909091
(katzsind bring)=0.6666666666666666
(stadium tunnel)=0.5
(coat richard)=0.1
(tht big)=0.6666666666666666
(open kacheri)=0.037037037037037035
(truetrend pull)=0.2857142857142857
(bound dont)=0.5
(design call)=0.04081632653061224
(minka bordeaux)=0.4
(sleep laid)=0.2857142857142857
(feel home)=0.16666666666666666
(burch sunglass)=0.5
(classic stylish)=0.03389830508474576
(store preview)=0.00796812749003984
(bone nba)=0.058823529411764705
(window alpha)=0.6666666666666666
(click download)=0.2857142857142857
(rag bonejean)=0.03389830508474576
(hadid wear)=0.4
(know tip)=0.058823529411764705
(bone girl)=0.05263157894736842
(wear fall)=0.017094017094017096
(brooklyn ny)=0.13333333333333333
(bonobo barlovefood)=0.6666666666666666
(just solv)=0.018018018018018018
(thing bold)=0.0967741935483871
(vibe dreamcatch)=0.14285714285714285
(stock wardrob)=0.06060606060606061
(shirt button)=0.0425531914893617
(come new)=0.045454545454545456
(wedg statement)=0.2222222222222222
(cross footwear)=0.2
(entranc light)=0.6666666666666666
(store onlin)=0.0625
(pm ny)=0.031746031746031744
(onlin store)=0.028037383177570093
(book blue)=0.13333333333333333
(dont f)=0.5
(sateen best)=0.3333333333333333
(pair favourit)=0.020833333333333332
(artist epic)=0.2222222222222222
(dot sale)=0.3333333333333333
(mankind order)=0.010638297872340425
(jumper penney)=0.3333333333333333
(blackandwhit moda)=0.6666666666666666
(bay urbanclotheshors)=0.125
(style classic)=0.009216589861751152
(photograph andrea)=0.09090909090909091
(oldschool denim)=0.5
(strappi bralett)=0.5
(strappi cami)=1.0
(statementaddict favorit)=1.0
(anushka hajela)=0.6666666666666666
(tribal inspir)=0.5
(rack select)=0.5
(essenti straight)=0.046511627906976744
(commut trouser)=0.125
(rollinghil palosverd)=0.2857142857142857
(jean feel)=0.015384615384615385
(worn layer)=0.3333333333333333
(gold foil)=0.06666666666666667
(even doll)=0.045454545454545456
(covet style)=0.25
(jacket live)=0.05405405405405406
(ispirazion outfit)=1.0
(handbag pilot)=0.2857142857142857
(commut levi)=0.05263157894736842
(retail high)=0.2857142857142857
(dockland tous)=0.6666666666666666
(workwear effort)=0.6666666666666666
(choos littl)=0.4
(boot howsti)=0.06896551724137931
(ankl boot)=0.125
(weather featur)=0.16666666666666666
(urban outfitt)=0.09523809523809523
(chloe pencil)=0.6666666666666666
(perfect detail)=0.02857142857142857
(pm bever)=0.07142857142857142
(museum featur)=0.6666666666666666
(cool varsiti)=0.08695652173913043
(street chic)=0.05714285714285714
(insid japan)=0.2222222222222222
(pm pm)=0.047619047619047616
(collabor jonathan)=0.13333333333333333
(shoe style)=0.0425531914893617
(brunch just)=0.4
(small make)=0.05555555555555555
(discount hurri)=0.2
(men denim)=0.02197802197802198
(small success)=0.09090909090909091
(reyn rsvp)=0.6666666666666666
(look dapper)=0.011494252873563218
(look perfect)=0.014925373134328358
(mankind shapingstyl)=0.014814814814814815
(perfect morn)=0.020833333333333332
(fearless street)=0.041666666666666664
(sat photo)=0.18181818181818182
(want replac)=0.038461538461538464
(bad start)=0.2222222222222222
(favourit mankind)=0.08
(datereadi keep)=0.6666666666666666
(pop color)=0.2857142857142857
(mumbai smile)=0.2857142857142857
(skirt layer)=0.06451612903225806
(director wwd)=0.6666666666666666
(new orlean)=0.009478672985781991
(outfit pick)=0.09523809523809523
(nat malon)=0.023529411764705882
(day summer)=0.006711409395973154
(side bad)=0.09523809523809523
(slimmer jean)=0.6666666666666666
(favorit dress)=0.041666666666666664
(style dillard)=0.01098901098901099
(style tip)=0.006711409395973154
(ad littl)=0.003875968992248062
(shop handbag)=0.0032102728731942215
(blue scene)=0.07407407407407407
(kalra photograph)=0.6666666666666666
(intim short)=0.2222222222222222
(nail overal)=0.2
(goto pair)=0.3333333333333333
(smile wear)=0.2
(dress size)=0.02040816326530612
(day new)=0.005747126436781609
(kish shawn)=0.6666666666666666
(code thank)=0.04081632653061224
(make epic)=0.025974025974025976
(night episod)=0.025
(peopl day)=0.0196078431372549
(isetan shinjuku)=0.2857142857142857
(platform style)=0.2857142857142857
(weekend inspir)=0.016
(dexter brown)=0.6666666666666666
(isetan sure)=0.6666666666666666
(catch play)=0.2
(summerstyl summer)=0.6666666666666666
(today what)=0.02666666666666667
(wear way)=0.016129032258064516
(lorenhop toryburch)=0.5
(authent fit)=0.4
(womenswear watch)=0.6666666666666666
(hire event)=0.6666666666666666
(style just)=0.01015228426395939
(shop urban)=0.004608294930875576
(fedora eliaszandella)=0.16666666666666666
(springsumm men)=0.2857142857142857
(gravel eliaszandella)=0.6666666666666666
(nat phi)=0.025974025974025976
(sleev tee)=0.14285714285714285
(hes wear)=0.05263157894736842
(print stella)=0.07407407407407407
(feodra jean)=0.6666666666666666
(inspir blogger)=0.03571428571428571
(releas hem)=0.4
(fret ad)=0.4
(metal accent)=0.15384615384615385
(puerto rico)=0.75
(star gabriella)=0.025
(true event)=0.028985507246376812
(necklac eliaszandella)=0.0425531914893617
(repair icon)=0.6666666666666666
(heel espadrill)=0.11764705882352941
(gladiat gladiat)=0.4
(friend famili)=0.03773584905660377
(topshop south)=0.4
(complet commut)=0.18181818181818182
(recount adventur)=0.6666666666666666
(peopl tee)=0.029411764705882353
(singl moment)=0.3333333333333333
(doubletap tous)=0.6666666666666666
(westernshirt worn)=1.0
(collect shop)=0.020202020202020204
(fierc diari)=1.0
(women item)=0.0625
(spray spill)=0.5
(tommi hilfig)=0.6666666666666666
(get bohemian)=0.020833333333333332
(sale store)=0.01639344262295082
(unwerth british)=0.6666666666666666
(brave new)=0.0625
(jacket link)=0.04081632653061224
(price summer)=0.02631578947368421
(jen know)=0.3333333333333333
(anklet free)=0.6666666666666666
(beauti hack)=0.11764705882352941
(right email)=0.058823529411764705
(short stay)=0.018518518518518517
(relax weekend)=0.03773584905660377
(collect pizza)=0.015384615384615385
(spring summer)=0.2
(sandal mankind)=0.05405405405405406
(collect infin)=0.01282051282051282
(style russel)=0.010362694300518135
(caligirl beachlif)=0.5
(weekend stun)=0.01818181818181818
(“filth‿ screen)=0.6666666666666666
(store return)=0.007692307692307693
(trucker better)=0.06060606060606061
(wardrob new)=0.06451612903225806
(pictur sanford)=0.2857142857142857
(heat white)=0.09523809523809523
(youv wait)=0.6666666666666666
(short store)=0.024096385542168676
(come cool)=0.044444444444444446
(sleek…polish style)=1.0
(fp pullov)=0.14285714285714285
(world denim)=0.07692307692307693
(design charl)=0.06060606060606061
(magazin detaileddenim)=0.3333333333333333
(wild brought)=0.2
(joyc beauti)=0.6666666666666666
(peopl watchit)=0.023809523809523808
(eighthgener sarangi)=0.6666666666666666
(gift card)=0.1276595744680851
(item week)=0.07142857142857142
(region coupl)=0.6666666666666666
(trend trendalert)=0.06896551724137931
(iv pant)=0.007633587786259542
(local shop)=0.14285714285714285
(owen olympia)=0.6666666666666666
(style learn)=0.005277044854881266
(ade ago)=0.027777777777777776
(boot skirt)=0.03278688524590164
